adv_policy_vf,pro_policy_vf,test reward
21.931118,22.570524,-83.0
24.01405,24.922379,-83.2
22.755774,22.878023,-82.34
27.650257,30.66808,-82.6
19.271235,21.143808,-83.82
34.78668,34.395344,-83.8
22.503397,22.123146,-82.66
25.553356,24.935545,-81.72
34.508823,34.69054,-83.2
32.624214,32.75106,-81.94
36.31833,37.26766,-82.86
43.271885,43.068943,-84.18
30.969017,31.698193,-84.14
33.358284,33.9005,-84.0
24.300856,24.259119,-82.68
26.252655,26.421885,-81.68
22.38592,22.07746,-86.08
34.372295,34.654625,-85.72
21.340254,22.379719,-84.48
29.15479,29.091505,-84.94
29.549612,29.036238,-84.7
28.43506,27.701204,-84.16
23.7512,24.22133,-85.1
28.782827,29.348213,-85.08
30.52459,31.153969,-83.6
26.64562,26.08892,-83.14
28.600636,28.50907,-85.34
20.20119,20.86679,-81.84
29.912123,30.155865,-85.34
26.278845,26.579388,-84.98
22.352158,22.578424,-82.5
21.4788,21.5613,-85.12
21.803135,22.461153,-82.4
17.86202,18.233656,-83.12
31.667892,31.477406,-83.6
22.716063,23.826422,-84.86
34.970615,35.73413,-82.7
18.825977,19.242428,-82.16
20.839418,20.634457,-82.82
20.23255,20.598257,-81.26
19.743391,19.99279,-82.9
20.178467,20.302086,-85.28
18.13063,18.300474,-83.06
21.06376,21.757933,-85.2
20.956331,21.642202,-81.4
22.084404,22.36762,-84.78
21.561497,21.818537,-81.34
19.363008,19.672876,-80.8
16.672821,18.533648,-83.72
19.651844,21.071814,-83.2
17.415287,18.10427,-82.96
19.470543,20.249584,-82.58
24.269674,24.929663,-83.7
22.41697,21.348747,-80.18
22.380566,22.618889,-81.28
20.637392,20.043,-83.2
24.201906,24.441483,-84.94
25.26289,25.20623,-83.64
21.303719,21.517607,-83.68
25.006933,25.123089,-80.86
23.108326,22.314518,-82.0
31.855299,33.24073,-88.06
25.42636,25.701721,-83.06
39.0506,37.28582,-85.4
29.256641,29.936817,-86.88
23.981264,24.408537,-83.6
27.113352,27.589468,-81.8
26.618073,26.742382,-84.06
40.055775,38.153416,-86.6
30.901207,30.108507,-84.74
27.055267,27.14844,-82.6
27.812777,27.834501,-83.92
23.054277,23.500563,-81.78
22.554365,22.567781,-83.56
37.72865,37.671368,-84.02
37.683884,38.353695,-84.66
33.105293,33.101067,-85.92
26.437702,26.454712,-81.54
