adv_policy_vf,pro_policy_vf,test reward
28.162853,27.87753,188.76
59.68904,56.072525,189.86
49.707165,51.35904,190.38
71.65054,66.84793,189.72
48.315643,48.03261,191.68
21.905521,22.54773,194.44
38.641163,36.529476,189.88
44.47795,41.59848,188.98
49.746433,50.20201,188.72
53.95356,55.897163,191.08
49.98018,48.900528,195.28
46.364285,45.066082,193.02
59.906803,63.997665,194.64
49.769882,47.835,193.48
47.369926,46.81773,192.86
48.464592,46.40438,190.36
55.206394,53.460293,193.24
49.176643,48.162495,189.04
90.28551,97.18541,191.7
37.547733,33.099876,193.24
36.243046,37.500862,193.18
41.124763,39.176765,193.78
61.956596,62.987717,193.62
42.84476,44.07147,195.44
53.277397,52.467594,197.98
77.0733,81.95263,198.46
72.91209,76.73813,197.94
48.04505,45.740227,198.3
24.223175,24.909155,198.04
31.129236,30.387774,198.04
19.375973,18.666206,198.98
43.26871,34.95764,197.98
44.58742,45.228188,197.8
66.577095,69.54215,199.82
62.633114,60.180973,199.32
51.433765,59.47677,199.96
55.551575,58.924084,199.34
49.097164,50.66541,199.6
46.060658,46.105515,199.08
89.164276,89.18891,200.0
74.76463,72.90949,199.96
52.470448,52.265305,200.0
70.76078,66.40531,199.9
64.18796,57.32115,200.0
54.70438,60.521755,200.0
63.18412,62.030235,199.9
56.776867,58.364143,200.0
58.130318,56.73773,199.72
98.90761,98.78525,199.7
70.16719,73.298805,200.0
53.41409,48.915176,200.0
57.72516,53.93852,200.0
55.13563,53.78211,200.0
54.70723,52.993572,200.0
62.824966,65.03966,200.0
81.32139,77.34536,200.0
43.650078,46.216328,200.0
37.872684,38.98591,200.0
48.900333,41.698563,200.0
69.36356,66.03018,200.0
91.485634,90.99003,200.0
49.07134,49.14648,200.0
81.20814,80.50242,200.0
38.82133,34.15305,200.0
60.30079,58.37693,200.0
59.515762,58.508747,200.0
88.1081,81.316956,200.0
89.07123,89.942276,200.0
85.38045,91.858864,200.0
52.86391,52.268032,200.0
82.35758,83.06196,200.0
56.03085,60.876045,200.0
70.20243,69.61106,200.0
