adv_policy_vf,eplenmean,eprewmean,pro_policy_vf,test reward
50.80055,59.51,33.29986274286295,58.42811,32.02
11.849031,57.93,32.33698130302107,11.030983,30.8
23.655386,55.22,35.787402386617245,23.784964,24.88
12.296293,55.47,38.40861754635946,12.589265,22.08
5.6677237,55.34,39.87467633922182,5.433674,23.6
43.830154,54.87,39.10746719208916,44.910374,-0.82
97.13519,53.01,28.340995328027017,96.71314,30.8
67.894226,51.59,21.981340465810117,65.9323,30.34
6.543551,53.2,23.277476719858186,5.86588,30.96
19.884027,55.8,32.429715746857106,18.046986,29.8
5.209833,56.54,39.94421239612685,5.459332,31.62
4.192885,57.41,39.50961314782391,4.4197416,26.78
4.538623,56.68,41.07814445477876,4.723507,26.06
5.065452,58.91,38.92235833408294,4.701526,18.2
16.7719,58.36,32.49414290820225,13.960706,8.06
16.268942,59.38,27.63623745736314,14.094375,23.18
17.321867,59.16,24.962430438728934,17.156572,11.34
62.911606,57.19,23.19923698051005,61.455738,18.34
33.51997,56.02,24.426402769698544,33.23738,22.04
37.377533,55.93,27.675908157701294,29.809196,30.22
8.202669,57.22,33.788831258179954,5.6596704,12.52
23.612888,56.31,37.543499402660046,21.971468,31.76
37.28595,56.53,36.04266148816663,28.593601,28.64
7.2668824,57.49,35.05004667040171,5.3224516,29.62
4.054665,59.63,34.786972538325564,4.1963987,28.74
3.936592,60.13,38.640369980840816,4.254474,28.8
4.169868,59.85,38.99042596600051,4.502159,29.78
4.321344,59.12,39.52501221681166,4.297986,30.6
4.062007,57.85,40.46553414639856,4.301139,31.82
3.7729752,58.21,40.684277452132946,3.8741033,31.36
7.746477,57.04,40.12951430070644,7.166031,31.28
3.6990235,57.36,40.014510098470105,3.6869369,30.12
3.4475746,57.66,39.725119037120905,3.4281542,32.32
3.796692,58.82,39.80394172622864,3.7946498,29.9
3.16295,59.9,38.86461959430738,3.2729068,30.66
3.4964612,60.84,37.85753806738212,3.5021954,32.42
4.1006,60.18,38.24712036207704,4.139247,32.22
3.4394023,58.21,40.24353427398818,3.6096995,31.92
3.4815526,57.9,40.2997936772819,3.6666539,31.68
20.164083,57.56,39.19439481799333,10.844256,33.44
4.0973616,57.96,38.593666265937955,4.0041294,28.78
3.3994603,57.66,39.35927037801502,3.4967625,31.74
3.4471962,58.22,40.421911445652356,3.6036177,29.34
11.552543,57.69,39.35980991204516,4.5372157,29.4
11.673988,56.99,38.38127274567396,16.274178,29.98
4.2874317,57.06,39.47924717706894,4.2062483,29.44
6.126099,56.86,38.329861982783356,7.44394,28.52
4.001881,56.73,39.95844640172235,3.7365668,33.22
11.276775,57.62,37.79976362796436,11.249691,29.38
6.2916813,57.25,36.66128991393644,6.741915,28.74
52.582863,55.51,34.94778938365376,50.001724,32.0
15.055362,53.95,35.64886978964787,13.3811,32.44
6.539073,53.75,36.90472789321198,5.978154,30.6
15.8361845,54.53,38.08547491012744,16.048098,25.78
3.9216752,55.36,38.98146045074573,3.9642782,32.66
10.422381,56.52,40.088156891672135,7.890713,26.64
16.033623,56.86,38.3861469408991,17.029943,32.26
31.127249,56.81,35.58327885685477,36.50148,29.16
21.948185,56.05,34.38436513392764,20.883482,30.48
6.051327,56.71,35.099719629032855,4.9011774,31.2
41.38893,56.02,38.758491944423284,36.84754,28.9
7.37557,55.9,38.708801957325974,5.4604373,25.34
4.23156,55.59,38.77606955013019,4.05154,29.74
3.9093516,56.69,39.983382345125904,4.121921,25.32
18.926903,55.24,35.56860374787397,12.578869,1.12
47.15624,55.78,29.377183635436804,44.444027,5.5
71.503204,54.79,20.631253890176016,77.214714,1.56
22.56575,57.46,18.618369981560875,22.348263,8.98
36.89449,54.9,10.842095092734072,35.916595,-21.34
43.618282,54.55,1.4473043067668647,44.354805,5.06
22.355928,55.18,-0.18530839537359942,23.263357,-4.76
38.975353,56.17,3.6624909407520967,40.879517,4.54
26.876778,56.69,7.087250720417883,22.745615,7.08
12.201631,54.87,10.843282373275024,9.41312,22.12
8.301944,55.38,20.096955808261217,7.7206917,22.46
22.572216,55.86,28.345103132855606,24.00341,6.14
9.935022,56.79,27.34698401183109,9.749449,-0.12
38.8511,57.93,20.88222615647419,38.60734,16.58
12.777873,57.0,13.403055514020178,12.953806,17.5
16.28305,55.82,14.379558135873065,17.7652,15.16
26.147804,56.58,16.912899140660087,26.004051,3.28
22.373627,57.05,13.639950488971094,26.108374,19.08
28.369734,56.58,8.950827391523838,25.708448,24.9
26.785112,55.96,6.565936276524229,25.530062,24.82
20.449812,54.96,13.053032955765959,21.6367,22.96
12.673807,55.72,23.03848862160542,12.519345,35.18
6.7065005,55.94,34.041894538000854,5.3159056,30.18
29.84476,55.59,36.59094616398986,46.703617,20.42
7.6632233,55.45,30.046172029892787,6.688514,17.88
16.907413,55.99,24.002492469569933,12.283986,14.38
26.474972,57.64,16.8949379350635,24.32622,-7.78
24.437893,56.66,9.586034870617427,15.763597,17.44
11.521571,56.91,10.975145718855401,11.622489,-2.36
41.542274,55.54,15.156060106099986,40.77143,-4.08
40.12942,53.46,12.182323852995035,43.709347,-1.92
51.78302,54.12,12.002715101286364,59.55781,13.26
108.84943,51.93,4.4462004945294,138.33537,2.7
77.07182,52.18,7.06523334600089,84.025604,-3.68
195.9625,51.1,9.448169779281294,216.10742,5.96
157.68297,51.92,10.036894732134762,183.1613,15.94
129.93556,52.43,14.201984718502224,149.13481,20.82
85.2514,53.44,19.317590584458834,96.3971,13.06
49.462284,52.78,24.303209768299613,52.463085,25.36
42.926018,54.66,27.527777334230958,48.90644,29.02
39.82903,55.6,32.18070289544055,39.4304,18.26
25.282982,56.44,28.91401107690529,24.367567,22.88
53.720116,55.05,27.19737559968798,57.588524,23.06
32.28551,54.58,29.69701658895591,31.58202,30.82
52.435364,54.56,28.774815179143758,64.6734,29.34
43.2616,55.82,28.897147703999764,46.779514,30.46
10.569775,57.11,25.608842074407484,10.993366,24.36
43.5322,56.53,23.953550565808037,42.708,22.62
