adv_policy_vf,eplenmean,eprewmean,pro_policy_vf,test reward
159.69286,63.28,53.524935558695745,153.35455,-67.94
94.91545,65.98,59.98641470878951,86.659065,-68.28
119.00787,65.49,59.47825850868999,114.44102,-63.18
118.136955,70.03,72.71211427816134,117.53251,-54.16
121.41183,72.94,79.77762433223069,117.688705,-56.42
79.22071,78.07,93.3742682593272,76.515495,-58.4
81.73292,75.44,88.08785450317286,74.295204,-58.98
90.51538,75.66,90.71112585187574,79.10698,-59.14
99.71361,74.49,89.16266692229354,89.865814,-61.56
71.45068,73.17,86.61923546337539,66.619286,-63.84
78.76322,73.37,82.2624772799981,74.87668,-55.98
110.734146,72.38,79.29207276391656,106.9545,-66.32
106.66614,67.33,62.91319429472517,102.53183,-60.7
94.71981,72.31,76.6332653982849,90.12966,-56.46
71.609024,70.71,72.9251736485466,65.0067,-61.16
65.75613,72.27,78.94565222012184,62.06393,-65.88
73.21428,72.4,79.62159460178266,69.07838,-57.0
76.580215,71.86,75.92582885188024,72.64448,-65.96
85.4945,74.11,83.04895423952914,81.68493,-58.72
80.91024,78.13,93.42003349359713,75.30056,-68.6
91.58178,76.75,89.85300876186763,103.09838,-61.4
83.72803,74.93,84.53136405223592,71.577156,-63.44
61.73117,77.33,91.12932142574353,60.079975,-68.88
91.494705,77.5,93.08368134992368,88.02034,-71.18
105.1378,79.2,98.73467856226924,99.77616,-63.72
96.40204,76.18,90.73889404708372,85.31467,-61.34
79.86295,74.77,84.78085819431413,77.08351,-62.24
81.539024,76.44,90.75123422954488,75.0271,-63.36
97.414925,77.19,89.92720739764658,92.34592,-59.46
90.52324,81.3,102.3813873373181,83.9455,-64.12
114.555695,77.85,92.75977324585693,105.450325,-61.62
87.06892,75.47,83.01879847321244,81.83893,-65.86
63.450096,74.25,79.7614084869125,56.421577,-59.24
91.8753,75.04,80.32987921275799,84.54575,-63.5
97.65789,74.69,79.14155740821792,97.43286,-63.42
92.15328,75.39,80.53863654261946,89.84796,-61.4
112.33157,78.92,88.7652999306635,83.820786,-61.16
89.7797,79.63,92.05870048007165,79.3309,-58.72
90.1251,79.3,90.93541937031172,78.85156,-68.04
106.91934,77.63,87.94980751877833,102.538445,-61.92
95.28899,76.62,85.88603862986065,82.47877,-65.82
101.979645,78.92,92.02121472427766,92.61939,-69.38
78.76021,79.34,94.6448460528846,72.092415,-66.2
81.255264,81.86,100.06035158971503,77.11428,-71.6
61.063816,79.63,94.53276276338076,55.077854,-60.3
106.425285,79.96,94.81692456523899,88.54351,-62.22
101.62473,81.17,98.5386008122043,97.30753,-63.62
90.44634,76.66,85.18457191033649,85.73406,-63.18
94.90592,76.39,84.32318511113675,89.701485,-65.86
66.39787,73.12,74.6980661110791,62.693497,-70.7
60.959255,76.9,84.85811818603322,63.95651,-63.6
102.574265,73.05,74.8601439523998,89.343346,-66.12
